Sheet Name,Column Name,Unique Column Name,Description,Data Type,Unit,Categories,Epicollect Recommended Type,Plotting Column Name,Retain?,Processing/Collection Recommendations,Data Quality Issues
Personal Information,age_years,PersonalInformation_age_years,Age of participant in years,Integer,Years,N/A,Numeric,Age (years),Yes,"Validate range (e.g., 18-120), consider calculating from birth date",none
Personal Information,gender,PersonalInformation_gender,Gender of participant,Categorical,N/A,"Male, Female, Others",Dropdown,Gender,Yes,"Add ""Prefer not to say"" option, consider allowing multiple selections",Some inconsistent capitalization
Personal Information,last_menstrual_cycle_date,PersonalInformation_last_menstrual_cycle_date,Date of last menstrual cycle,Date,N/A,N/A,Date,Last Menstrual Cycle Date,Yes,"Ensure consistent date format, add option for ""Not applicable""","Some missing data, inconsistent formats"
Personal Information,has_endocrine_disorder,PersonalInformation_has_endocrine_disorder,Presence of endocrine disorders,Boolean,N/A,"Yes, No",Radio,Has Endocrine Disorder,Yes,"Add follow-up question for specific disorders if ""Yes""",Some entries include additional details
Personal Information,occupation_category,PersonalInformation_occupation_category,Categorized occupation,Categorical,N/A,"Professional, Semi-professional, Clerical/shop/farmer, Skilled worker, Semi-skilled worker, Unskilled worker, Unemployed",Dropdown,Occupation,Yes,"Standardize categories, add free-text field for specific job titles",Some entries don't match categories
Personal Information,income_category,PersonalInformation_income_category,Categorized annual family income,Categorical,INR,">1,85,895, 92,951 - 1,85,894, 69,535 – 92,950, 46,475 – 69,534, 27,883 – 46,474, 9,308 – 27,882, <9,307",Dropdown,Family Income Category,Yes,"Use numerical ranges, consider adding a separate field for exact amount",Some entries include exact amounts
Personal Information,marital_status,PersonalInformation_marital_status,Current marital status,Categorical,N/A,"Single, Married, Divorced, Widow/Widower",Dropdown,Marital Status,Yes,"Consider adding ""Separated"" and ""Other"" options",Some inconsistent terminology
Personal Information,education_level,PersonalInformation_education_level,Highest level of education completed,Categorical,N/A,"Professional degree, Graduate, Intermediate/diploma, High school, Middle school, Primary school, Illiterate",Dropdown,Education Level,Yes,Consider adding years of education as a separate numeric field,Some entries include additional details
Vitals,pulse_rate_bpm,Vitals_pulse_rate_bpm,Resting pulse rate,Integer,bpm,N/A,Numeric,Pulse Rate (bpm),Yes,"Validate range (e.g., 40-200 bpm), ensure consistent unit use",Some entries include units
Vitals,blood_pressure_mmhg,Vitals_blood_pressure_mmhg,Blood pressure measurement,String,mmHg,N/A,Text,Blood Pressure (mmHg),Yes,Split into systolic_bp and diastolic_bp columns,"Inconsistent formats (e.g., ""120/80"", ""120-80"")"
Vitals,respiratory_rate_bpm,Vitals_respiratory_rate_bpm,Respiratory rate,Integer,breaths per minute,N/A,Numeric,Respiratory Rate (bpm),Yes,"Validate range (e.g., 8-30 bpm), ensure consistent unit use",Some entries include units
Vitals,oxygen_saturation_percent,Vitals_oxygen_saturation_percent,Blood oxygen saturation level,Float,%,N/A,Numeric,Oxygen Saturation (%),Yes,"Validate range (e.g., 80-100%), ensure consistent unit use",Some entries missing % sign
Vitals,body_temperature_farenheit,Vitals_body_temperature_farenheit,Body temperature,Float,°F,N/A,Numeric,Body Temperature (°F),Yes,"Validate range (e.g., 35-42°F), ensure consistent unit use",Some entries in Fahrenheit
Vitals,pallor_present,Vitals_pallor_present,Presence of pallor,Boolean,N/A,"Present, Absent",Radio,Pallor Present,Yes,Consider adding a scale for severity if present,Some inconsistent terminology
Vitals,pallor_details,Vitals_pallor_details,Details of pallor if present,String,N/A,N/A,Text,Pallor Details,Yes,"Standardize response format, consider creating categorical options",Highly variable free-text responses
Co-Morbidities,has_type2_diabetes,Co-Morbidities_has_type2_diabetes,Presence of Type-2 Diabetes Mellitus,Boolean,N/A,"Yes, No",Radio,Has Type 2 Diabetes,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,diabetes_duration_years,Co-Morbidities_diabetes_duration_years,Duration of Type-2 Diabetes,Float,Years,N/A,Numeric,Diabetes Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,diabetes_medication,Co-Morbidities_diabetes_medication,Medication for Type-2 Diabetes,String,N/A,N/A,Text,Diabetes Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,diabetes_particulars,Co-Morbidities_diabetes_particulars,Additional details about diabetes treatment,String,N/A,N/A,Text,Diabetes Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,has_hypertension,Co-Morbidities_has_hypertension,Presence of Hypertension,Boolean,N/A,"Yes, No",Radio,Has Hypertension,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,hypertension_duration_years,Co-Morbidities_hypertension_duration_years,Duration of Hypertension,Float,Years,N/A,Numeric,Hypertension Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,hypertension_medication,Co-Morbidities_hypertension_medication,Medication for Hypertension,String,N/A,N/A,Text,Hypertension Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,hypertension_particulars,Co-Morbidities_hypertension_particulars,Additional details about hypertension treatment,String,N/A,N/A,Text,Hypertension Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,has_ischemic_heart_disease,Co-Morbidities_has_ischemic_heart_disease,Presence of Ischemic Cardiac disease,Boolean,N/A,"Yes, No",Radio,Has Ischemic Heart Disease,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,cardiac_disease_duration_years,Co-Morbidities_cardiac_disease_duration_years,Duration of Ischemic Cardiac disease,Float,Years,N/A,Numeric,Cardiac Disease Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,cardiac_disease_medication,Co-Morbidities_cardiac_disease_medication,Medication for Ischemic Cardiac disease,String,N/A,N/A,Text,Cardiac Disease Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,cardiac_disease_particulars,Co-Morbidities_cardiac_disease_particulars,Additional details about cardiac disease treatment,String,N/A,N/A,Text,Cardiac Disease Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,has_hypothyroidism,Co-Morbidities_has_hypothyroidism,Presence of Hypothyroidism,Boolean,N/A,"Yes, No",Radio,Has Hypothyroidism,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,hypothyroidism_duration_years,Co-Morbidities_hypothyroidism_duration_years,Duration of Hypothyroidism,Float,Years,N/A,Numeric,Hypothyroidism Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,hypothyroidism_medication,Co-Morbidities_hypothyroidism_medication,Medication for Hypothyroidism,String,N/A,N/A,Text,Hypothyroidism Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,hypothyroidism_particulars,Co-Morbidities_hypothyroidism_particulars,Additional details about hypothyroidism treatment,String,N/A,N/A,Text,Hypothyroidism Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,has_chronic_kidney_disease,Co-Morbidities_has_chronic_kidney_disease,Presence of Chronic Kidney Disease,Boolean,N/A,"Yes, No",Radio,Has Chronic Kidney Disease,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,kidney_disease_duration_years,Co-Morbidities_kidney_disease_duration_years,Duration of Chronic Kidney Disease,Float,Years,N/A,Numeric,Kidney Disease Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,kidney_disease_medication,Co-Morbidities_kidney_disease_medication,Medication for Chronic Kidney Disease,String,N/A,N/A,Text,Kidney Disease Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,kidney_disease_particulars,Co-Morbidities_kidney_disease_particulars,Additional details about kidney disease treatment,String,N/A,N/A,Text,Kidney Disease Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,has_copd,Co-Morbidities_has_copd,Presence of Chronic Obstructive Pulmonary Disease,Boolean,N/A,"Yes, No",Radio,Has COPD,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,copd_duration_years,Co-Morbidities_copd_duration_years,Duration of COPD,Float,Years,N/A,Numeric,COPD Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,copd_medication,Co-Morbidities_copd_medication,Medication for COPD,String,N/A,N/A,Text,COPD Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,copd_particulars,Co-Morbidities_copd_particulars,Additional details about COPD treatment,String,N/A,N/A,Text,COPD Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,has_bronchial_asthma,Co-Morbidities_has_bronchial_asthma,Presence of Bronchial Asthma,Boolean,N/A,"Yes, No",Radio,Has Bronchial Asthma,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,asthma_duration_years,Co-Morbidities_asthma_duration_years,Duration of Bronchial Asthma,Float,Years,N/A,Numeric,Asthma Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,asthma_medication,Co-Morbidities_asthma_medication,Medication for Bronchial Asthma,String,N/A,N/A,Text,Asthma Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,asthma_particulars,Co-Morbidities_asthma_particulars,Additional details about asthma treatment,String,N/A,N/A,Text,Asthma Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,has_epilepsy,Co-Morbidities_has_epilepsy,Presence of Epilepsy,Boolean,N/A,"Yes, No",Radio,Has Epilepsy,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,epilepsy_duration_years,Co-Morbidities_epilepsy_duration_years,Duration of Epilepsy,Float,Years,N/A,Numeric,Epilepsy Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
