Sheet Name,Original Column Name,Recommended Column Name,Unique Column Name,Description,Data Type,Unit,Categories,Epicollect Recommended Type,Plotting Column Name,Retain?,Processing/Collection Recommendations,Data Quality Issues
Personal Information,ec5_branch_owner_uuid,branch_owner_id,PersonalInformation_branch_owner_id,Unique identifier for branch owner,String,N/A,N/A,Text,Branch Owner ID,No,Hash or encrypt if retention is necessary for audit purposes,None observed
Personal Information,ec5_branch_uuid,branch_id,PersonalInformation_branch_id,Unique identifier for branch,String,N/A,N/A,Text,Branch ID,No,Hash or encrypt if retention is necessary for data integrity,None observed
Personal Information,created_at,data_entry_datetime,PersonalInformation_data_entry_datetime,Date and time of data entry,DateTime,N/A,N/A,Date,Data Entry Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Personal Information,uploaded_at,data_upload_datetime,PersonalInformation_data_upload_datetime,Date and time of data upload,DateTime,N/A,N/A,Date,Data Upload Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Personal Information,created_by,data_entry_user,PersonalInformation_data_entry_user,User who entered the data,String,N/A,N/A,Text,Data Entry User,No,Anonymize or remove for privacy,None observed
Personal Information,title,identifier,PersonalInformation_identifier,Unique id of data entry,String,,,Text,Identifier,No,Remove from final,none
Personal Information,2_Name,participant_full_name,PersonalInformation_participant_full_name,Full name of participant,String,N/A,N/A,Text,Participant Name,No,Create a separate anonymized participant ID,Some entries include titles
Personal Information,3_Contact_Informatio,contact_info,PersonalInformation_contact_info,Contact details of participant,String,N/A,N/A,Phone,Contact Information,No,"Encrypt or remove, keep only for internal use if necessary",Mixed formats (phone/email)
Personal Information,4_Date_of_Birth,date_of_birth,PersonalInformation_date_of_birth,Date of Birth of Participant,String,,,Date,DOB,No,Use to validate/calculate accurate age,
Personal Information,5_Age,age_years,PersonalInformation_age_years,Age of participant in years,Integer,Years,N/A,Numeric,Age (years),Yes,"Validate range (e.g., 18-120), consider calculating from birth date",none
Personal Information,6_Gender,gender,PersonalInformation_gender,Gender of participant,Categorical,N/A,"Male, Female, Others",Dropdown,Gender,Yes,"Add ""Prefer not to say"" option, consider allowing multiple selections",Some inconsistent capitalization
Personal Information,7_When_was_your_last,last_menstrual_cycle_date,PersonalInformation_last_menstrual_cycle_date,Date of last menstrual cycle,Date,N/A,N/A,Date,Last Menstrual Cycle Date,Yes,"Ensure consistent date format, add option for ""Not applicable""","Some missing data, inconsistent formats"
Personal Information,8_Do_you_have_any_en,has_endocrine_disorder,PersonalInformation_has_endocrine_disorder,Presence of endocrine disorders,Boolean,N/A,"Yes, No",Radio,Has Endocrine Disorder,Yes,"Add follow-up question for specific disorders if ""Yes""",Some entries include additional details
Personal Information,9_Address_latitude,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,9_Address_longitude,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,9_Address_accuracy,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,9_Address_UTM_Northing,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,9_Address_UTM_Easting,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,9_Address_UTM_Zone,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,10_PermanentNative_A_latitude,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,10_PermanentNative_A_longitude,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,10_PermanentNative_A_accuracy,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,10_PermanentNative_A_UTM_Northing,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,10_PermanentNative_A_UTM_Easting,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,10_PermanentNative_A_UTM_Zone,residential_address,PersonalInformation_residential_address,Residential address,String,N/A,N/A,Text,Address,No,"Extract and retain only zipcode, city, and state for location analysis",Contains full addresses
Personal Information,11_Occupation,occupation_category,PersonalInformation_occupation_category,Categorized occupation,Categorical,N/A,"Professional, Semi-professional, Clerical/shop/farmer, Skilled worker, Semi-skilled worker, Unskilled worker, Unemployed",Dropdown,Occupation,Yes,"Standardize categories, add free-text field for specific job titles",Some entries don't match categories
Personal Information,12_Family_income,income_category,PersonalInformation_income_category,Categorized annual family income,Categorical,INR,">1,85,895, 92,951 - 1,85,894, 69,535 – 92,950, 46,475 – 69,534, 27,883 – 46,474, 9,308 – 27,882, <9,307",Dropdown,Family Income Category,Yes,"Use numerical ranges, consider adding a separate field for exact amount",Some entries include exact amounts
Personal Information,13_Marital_Status,marital_status,PersonalInformation_marital_status,Current marital status,Categorical,N/A,"Single, Married, Divorced, Widow/Widower",Dropdown,Marital Status,Yes,"Consider adding ""Separated"" and ""Other"" options",Some inconsistent terminology
Personal Information,14_Education_Details,education_level,PersonalInformation_education_level,Highest level of education completed,Categorical,N/A,"Professional degree, Graduate, Intermediate/diploma, High school, Middle school, Primary school, Illiterate",Dropdown,Education Level,Yes,Consider adding years of education as a separate numeric field,Some entries include additional details
Vitals,ec5_branch_owner_uuid,branch_owner_id,Vitals_branch_owner_id,Unique identifier for branch owner,String,N/A,N/A,Text,Branch Owner ID,No,Hash or encrypt if retention is necessary for audit purposes,None observed
Vitals,ec5_branch_uuid,branch_id,Vitals_branch_id,Unique identifier for branch,String,N/A,N/A,Text,Branch ID,No,Hash or encrypt if retention is necessary for data integrity,None observed
Vitals,created_at,vitals_entry_datetime,Vitals_vitals_entry_datetime,Date and time of vitals entry,DateTime,N/A,N/A,Date,Vitals Entry Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Vitals,uploaded_at,vitals_upload_datetime,Vitals_vitals_upload_datetime,Date and time of vitals upload,DateTime,N/A,N/A,Date,Vitals Upload Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Vitals,created_by,vitals_entry_user,Vitals_vitals_entry_user,User who entered the vitals data,String,N/A,N/A,Text,Vitals Entry User,No,Anonymize or remove for privacy,None observed
Vitals,title,identifier,Vitals_identifier,Unique id of data entry,String,,,Text,Identifier,No,Remove from final,none
Vitals,16_Pulse_Beats_Per_M,pulse_rate_bpm,Vitals_pulse_rate_bpm,Resting pulse rate,Integer,bpm,N/A,Numeric,Pulse Rate (bpm),Yes,"Validate range (e.g., 40-200 bpm), ensure consistent unit use",Some entries include units
Vitals,17_BP_mm_Hg,blood_pressure_mmhg,Vitals_blood_pressure_mmhg,Blood pressure measurement,String,mmHg,N/A,Text,Blood Pressure (mmHg),Yes,Split into systolic_bp and diastolic_bp columns,"Inconsistent formats (e.g., ""120/80"", ""120-80"")"
Vitals,18_RR_cycles_per_min,respiratory_rate_bpm,Vitals_respiratory_rate_bpm,Respiratory rate,Integer,breaths per minute,N/A,Numeric,Respiratory Rate (bpm),Yes,"Validate range (e.g., 8-30 bpm), ensure consistent unit use",Some entries include units
Vitals,19_SPo2__on_room_air,oxygen_saturation_percent,Vitals_oxygen_saturation_percent,Blood oxygen saturation level,Float,%,N/A,Numeric,Oxygen Saturation (%),Yes,"Validate range (e.g., 80-100%), ensure consistent unit use",Some entries missing % sign
Vitals,20_Temperature_degre,body_temperature_farenheit,Vitals_body_temperature_farenheit,Body temperature,Float,°F,N/A,Numeric,Body Temperature (°F),Yes,"Validate range (e.g., 35-42°F), ensure consistent unit use",Some entries in Fahrenheit
Vitals,21_Pallor,pallor_present,Vitals_pallor_present,Presence of pallor,Boolean,N/A,"Present, Absent",Radio,Pallor Present,Yes,Consider adding a scale for severity if present,Some inconsistent terminology
Vitals,22_If_present_please,pallor_details,Vitals_pallor_details,Details of pallor if present,String,N/A,N/A,Text,Pallor Details,Yes,"Standardize response format, consider creating categorical options",Highly variable free-text responses
Co-Morbidities,ec5_branch_owner_uuid,branch_owner_id,Co-Morbidities_branch_owner_id,Unique identifier for branch owner,String,N/A,N/A,Text,Branch Owner ID,No,Hash or encrypt if retention is necessary for audit purposes,None observed
Co-Morbidities,ec5_branch_uuid,branch_id,Co-Morbidities_branch_id,Unique identifier for branch,String,N/A,N/A,Text,Branch ID,No,Hash or encrypt if retention is necessary for data integrity,None observed
Co-Morbidities,created_at,comorbidity_entry_datetime,Co-Morbidities_comorbidity_entry_datetime,Date and time of comorbidity data entry,DateTime,N/A,N/A,Date,Comorbidity Entry Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Co-Morbidities,uploaded_at,comorbidity_upload_datetime,Co-Morbidities_comorbidity_upload_datetime,Date and time of comorbidity data upload,DateTime,N/A,N/A,Date,Comorbidity Upload Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Co-Morbidities,created_by,comorbidity_entry_user,Co-Morbidities_comorbidity_entry_user,User who entered the comorbidity data,String,N/A,N/A,Text,Comorbidity Entry User,No,Anonymize or remove for privacy,None observed
Co-Morbidities,title,identifier,Co-Morbidities_identifier,Unique id of data entry,String,,,Text,Identifier,No,Remove from final,none
Co-Morbidities,24_Type2_Diabetes_Me,has_type2_diabetes,Co-Morbidities_has_type2_diabetes,Presence of Type-2 Diabetes Mellitus,Boolean,N/A,"Yes, No",Radio,Has Type 2 Diabetes,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,26_Duration,diabetes_duration_years,Co-Morbidities_diabetes_duration_years,Duration of Type-2 Diabetes,Float,Years,N/A,Numeric,Diabetes Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,27_Medication,diabetes_medication,Co-Morbidities_diabetes_medication,Medication for Type-2 Diabetes,String,N/A,N/A,Text,Diabetes Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,28_Particulars_Surge,diabetes_particulars,Co-Morbidities_diabetes_particulars,Additional details about diabetes treatment,String,N/A,N/A,Text,Diabetes Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,29_Hypertension,has_hypertension,Co-Morbidities_has_hypertension,Presence of Hypertension,Boolean,N/A,"Yes, No",Radio,Has Hypertension,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,31_Duration,hypertension_duration_years,Co-Morbidities_hypertension_duration_years,Duration of Hypertension,Float,Years,N/A,Numeric,Hypertension Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,32_Medication_detail,hypertension_medication,Co-Morbidities_hypertension_medication,Medication for Hypertension,String,N/A,N/A,Text,Hypertension Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,33_Particulars_Surge,hypertension_particulars,Co-Morbidities_hypertension_particulars,Additional details about hypertension treatment,String,N/A,N/A,Text,Hypertension Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,34_Ischemic_Cardiac_,has_ischemic_heart_disease,Co-Morbidities_has_ischemic_heart_disease,Presence of Ischemic Cardiac disease,Boolean,N/A,"Yes, No",Radio,Has Ischemic Heart Disease,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,36_Duration,cardiac_disease_duration_years,Co-Morbidities_cardiac_disease_duration_years,Duration of Ischemic Cardiac disease,Float,Years,N/A,Numeric,Cardiac Disease Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,37_Medications,cardiac_disease_medication,Co-Morbidities_cardiac_disease_medication,Medication for Ischemic Cardiac disease,String,N/A,N/A,Text,Cardiac Disease Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,38_Particulars_Surge,cardiac_disease_particulars,Co-Morbidities_cardiac_disease_particulars,Additional details about cardiac disease treatment,String,N/A,N/A,Text,Cardiac Disease Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,39_Hypothyroidism,has_hypothyroidism,Co-Morbidities_has_hypothyroidism,Presence of Hypothyroidism,Boolean,N/A,"Yes, No",Radio,Has Hypothyroidism,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,41_Duration,hypothyroidism_duration_years,Co-Morbidities_hypothyroidism_duration_years,Duration of Hypothyroidism,Float,Years,N/A,Numeric,Hypothyroidism Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,42_Medications,hypothyroidism_medication,Co-Morbidities_hypothyroidism_medication,Medication for Hypothyroidism,String,N/A,N/A,Text,Hypothyroidism Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,43_Particulars_Surge,hypothyroidism_particulars,Co-Morbidities_hypothyroidism_particulars,Additional details about hypothyroidism treatment,String,N/A,N/A,Text,Hypothyroidism Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,44_Chronic_Kidney_Di,has_chronic_kidney_disease,Co-Morbidities_has_chronic_kidney_disease,Presence of Chronic Kidney Disease,Boolean,N/A,"Yes, No",Radio,Has Chronic Kidney Disease,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,46_Duration,kidney_disease_duration_years,Co-Morbidities_kidney_disease_duration_years,Duration of Chronic Kidney Disease,Float,Years,N/A,Numeric,Kidney Disease Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,47_Medications,kidney_disease_medication,Co-Morbidities_kidney_disease_medication,Medication for Chronic Kidney Disease,String,N/A,N/A,Text,Kidney Disease Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,48_Particulars_Surge,kidney_disease_particulars,Co-Morbidities_kidney_disease_particulars,Additional details about kidney disease treatment,String,N/A,N/A,Text,Kidney Disease Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,49_Chronic_obstructi,has_copd,Co-Morbidities_has_copd,Presence of Chronic Obstructive Pulmonary Disease,Boolean,N/A,"Yes, No",Radio,Has COPD,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,51_Duration,copd_duration_years,Co-Morbidities_copd_duration_years,Duration of COPD,Float,Years,N/A,Numeric,COPD Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,52_Medications,copd_medication,Co-Morbidities_copd_medication,Medication for COPD,String,N/A,N/A,Text,COPD Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,53_Particulars_Surge,copd_particulars,Co-Morbidities_copd_particulars,Additional details about COPD treatment,String,N/A,N/A,Text,COPD Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
